drugName,condition,average_category,num_reviews
A + D Cracked Skin Relief,Bacterial Skin Infection,4.0,1
A / B Otic,Otitis Media,1.5,2
Abacavir / dolutegravir / lamivudine,HIV Infection,3.2285714285714286,70
Abacavir / lamivudine,HIV Infection,3.6666666666666665,3
Abacavir / lamivudine / zidovudine,HIV Infection,3.0,1
Abatacept,Juvenile Idiopathic Arthritis,3.0,2
Abatacept,Rheumatoid Arthritis,2.9565217391304346,23
Abilify,20</span> users found this comment helpful.,5.0,1
Abilify,3</span> users found this comment helpful.,5.0,1
Abilify,Agitated State,2.772727272727273,22
Abilify,Autism,3.611111111111111,18
Abilify,Bipolar Disorde,2.9346733668341707,199
Abilify,Borderline Personality Disorde,2.75,4
Abilify,Depression,3.015463917525773,194
Abilify,Major Depressive Disorde,3.018867924528302,53
Abilify,Obsessive Compulsive Disorde,3.6363636363636362,11
Abilify,Post Traumatic Stress Disorde,3.0,2
Abilify,Schizoaffective Disorde,3.25,36
Abilify,Schizophrenia,3.0208333333333335,48
Abilify,Tourette's Syndrome,4.5,4
Abilify Discmelt,Bipolar Disorde,5.0,1
Abilify Discmelt,Depression,2.0,1
Abilify Discmelt,Post Traumatic Stress Disorde,5.0,1
Abilify Maintena,Schizophrenia,2.8,5
Abiraterone,Prostate Cance,2.6666666666666665,12
AbobotulinumtoxinA,Cervical Dystonia,5.0,2
AbobotulinumtoxinA,acial Wrinkles,3.5,2
Abraxane,Breast Cance,2.3333333333333335,3
Abraxane,Pancreatic Cance,1.0,1
Abreva,Herpes Simplex,2.7365853658536587,205
Absorbine Jr.,Rheumatoid Arthritis,5.0,1
Absorica,Acne,3.25,4
Abstral,Breakthrough Pain,5.0,1
Acamprosate,Alcohol Dependence,3.7832167832167833,143
Acanya,Acne,3.618181818181818,55
Acarbose,"Diabetes, Type 2",3.0,2
Accolate,"Asthma, Maintenance",4.0,3
Accupril,Heart Failure,2.0,1
Accutane,13</span> users found this comment helpful.,2.0,1
Accutane,3</span> users found this comment helpful.,2.0,1
Accutane,Acne,3.3642691415313224,431
Accutane,Acute Nonlymphocytic Leukemia,5.0,1
Accutane,Granuloma Annulare,3.0,1
Accutane,Rosacea,3.0,6
Acebutolol,High Blood Pressure,4.0,2
Acetaminophen,Muscle Pain,3.6666666666666665,3
Acetaminophen,Pain,2.962962962962963,27
Acetaminophen,Sciatica,2.3333333333333335,3
Acetaminophen,eve,3.6666666666666665,6
Acetaminophen / aspirin,Back Pain,2.0,1
Acetaminophen / aspirin,Pain,4.0,1
Acetaminophen / aspirin / caffeine,Migraine,3.1262135922330097,103
Acetaminophen / aspirin / caffeine,Osteoarthritis,3.0,2
Acetaminophen / aspirin / caffeine,Pain/Feve,2.75,8
Acetaminophen / aspirin / caffeine / salicylamide,Migraine,2.3333333333333335,3
Acetaminophen / aspirin / caffeine / salicylamide,Pain,3.0,2
Acetaminophen / butalbital,Headache,2.642857142857143,14
Acetaminophen / butalbital / caffeine,Headache,3.147727272727273,176
Acetaminophen / butalbital / caffeine,Not Listed / Othe,4.0,1
Acetaminophen / butalbital / caffeine / codeine,Headache,2.9047619047619047,21
Acetaminophen / caffeine,Headache,2.8,5
Acetaminophen / caffeine / dihydrocodeine,Pain,2.9375,16
Acetaminophen / caffeine / isometheptene mucate,Headache,2.375,8
Acetaminophen / caffeine / magnesium salicylate,Muscle Pain,4.0,2
Acetaminophen / caffeine / pyrilamine,Premenstrual Syndrome,4.0,1
Acetaminophen / chlorpheniramine,Cold Symptoms,3.8,5
Acetaminophen / chlorpheniramine,Influenza,3.0,1
Acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,Cold Symptoms,3.0,1
Acetaminophen / chlorpheniramine / phenylephrine,Cold Symptoms,2.5714285714285716,7
Acetaminophen / chlorpheniramine / phenylephrine,Sinus Symptoms,3.0,1
Acetaminophen / codeine,Cough,3.2,10
Acetaminophen / codeine,Osteoarthritis,3.6666666666666665,3
Acetaminophen / codeine,Pain,2.169491525423729,118
Acetaminophen / dexbrompheniramine / pseudoephedrine,Allergic Rhinitis,2.0,2
Acetaminophen / dexbrompheniramine / pseudoephedrine,Sinus Symptoms,5.0,1
Acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,Cold Symptoms,3.8,5
Acetaminophen / dextromethorphan / guaifenesin / phenylephrine,Cold Symptoms,5.0,1
Acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,Cold Symptoms,3.0,1
Acetaminophen / dextromethorphan / phenylephrine,Sinus Symptoms,2.0,2
Acetaminophen / dextromethorphan / pseudoephedrine,Cold Symptoms,5.0,1
Acetaminophen / dichloralphenazone / isometheptene mucate,Headache,3.225806451612903,62
Acetaminophen / diphenhydramine,Headache,3.1666666666666665,6
Acetaminophen / diphenhydramine,Insomnia,3.375,16
Acetaminophen / diphenhydramine,Pain,3.4,5
Acetaminophen / diphenhydramine / phenylephrine,Cold Symptoms,3.0,4
Acetaminophen / hydrocodone,Back Pain,2.532967032967033,182
Acetaminophen / hydrocodone,Cough,2.75,20
Acetaminophen / hydrocodone,Not Listed / Othe,3.0,6
Acetaminophen / hydrocodone,Pain,2.482300884955752,452
Acetaminophen / hydrocodone,Rheumatoid Arthritis,2.8260869565217392,23
Acetaminophen / oxycodone,Chronic Pain,2.4857142857142858,140
Acetaminophen / oxycodone,Not Listed / Othe,2.7142857142857144,7
Acetaminophen / oxycodone,Pain,2.6225895316804406,363
Acetaminophen / pamabrom,Back Pain,3.75,12
Acetaminophen / pamabrom / pyrilamine,Premenstrual Syndrome,3.0,1
Acetaminophen / pentazocine,Pain,1.5,2
Acetaminophen / phenylephrine,Headache,3.0,1
Acetaminophen / phenylephrine,Not Listed / Othe,3.0,1
Acetaminophen / phenylephrine,Sinus Symptoms,4.0,1
Acetaminophen / phenyltoloxamine,Headache,4.285714285714286,7
Acetaminophen / phenyltoloxamine,Influenza,4.0,1
Acetaminophen / phenyltoloxamine,Pain,3.875,8
Acetaminophen / propoxyphene,Not Listed / Othe,1.0,1
Acetaminophen / propoxyphene,Osteoarthritis,3.0,1
Acetaminophen / propoxyphene,Pain,2.3333333333333335,69
Acetaminophen / pseudoephedrine,Sinus Symptoms,3.8333333333333335,6
Acetaminophen / tramadol,Not Listed / Othe,1.0,1
Acetaminophen / tramadol,Pain,2.325,40
Acetaminophen / tramadol,Rheumatoid Arthritis,2.6666666666666665,3
Acetazolamide,Edema,2.3333333333333335,3
Acetazolamide,Epilepsy,4.5,2
Acetazolamide,Glaucoma,2.125,16
Acetazolamide,Hydrocephalus,4.0,1
Acetazolamide,Hypokalemic Periodic Paralysis,4.0,1
Acetazolamide,Mountain Sickness / Altitude Sickness,3.4285714285714284,7
Acetazolamide,Pseudotumor Cerebri,2.360655737704918,61
Acetazolamide,Seizure Prevention,3.5,2
Acetic acid,Wound Cleansing,3.0,1
Acetic acid / antipyrine / benzocaine / polycosanol,Ear Wax Impaction,5.0,1
Acetic acid / hydrocortisone,Otitis Externa,4.0,1
Acetohydroxamic acid,Urinary Tract Infection,1.0,1
Acetylcysteine,Acetaminophen Overdose,4.0,1
Acetylcysteine,Diagnostic Bronchograms,2.0,1
Acetylcysteine,Expectoration,3.4444444444444446,9
Acidophilus,Irritable Bowel Syndrome,1.5,2
Acidophilus,Urinary Tract Infection,2.0,1
Acidophilus,Vaginal Yeast Infection,3.923076923076923,13
Aciphex,Barrett's Esophagus,4.0,2
Aciphex,Duodenal Ulce,1.0,1
Aciphex,Erosive Esophagitis,2.8,5
Aciphex,GERD,3.3448275862068964,29
Aciphex,Helicobacter Pylori Infection,2.5,4
Aciphex,Stomach Ulce,2.5,2
Acitretin,Psoriasis,3.1666666666666665,12
Aclidinium,COPD,3.7142857142857144,7
Aclidinium,"COPD, Maintenance",4.75,4
Acnex,Acne,3.0,1
Acrivastine / pseudoephedrine,Allergic Rhinitis,5.0,1
Acrivastine / pseudoephedrine,Nasal Congestion,2.0,1
Actemra,Juvenile Idiopathic Arthritis,4.0,4
Actemra,Rheumatoid Arthritis,2.5384615384615383,13
Acthar,Allergies,4.0,1
Acthar,Multiple Sclerosis,4.333333333333333,3
Acthar,Rheumatoid Arthritis,5.0,1
Acthar,Sarcoidosis,4.0,1
Acticlate,Acne,4.0,3
Actifed,Allergic Rhinitis,3.3333333333333335,3
Actifed,Cold Symptoms,3.8333333333333335,6
Actiq,Breakthrough Pain,1.875,8
Actiq,Chronic Pain,4.0,1
Actiq,Pain,3.8,5
Activella,Postmenopausal Symptoms,3.4,5
ActoPlus Met,"Diabetes, Type 2",2.8,5
Actonel,Osteoporosis,2.3846153846153846,13
Actonel,Paget's Disease,1.0,1
Actonel with Calcium,Osteoporosis,1.0,1
Actos,"Diabetes, Type 2",2.7586206896551726,29
Acular LS,Corneal Refractive Surgery,2.0,1
Acuvail,Postoperative Ocular Inflammation,3.0,1
Acyclovir,Cold Sores,3.0,36
Acyclovir,Herpes Simplex,2.727272727272727,66
Acyclovir,"Herpes Simplex, Mucocutaneous/Immunocompetent Host",3.0,1
Acyclovir,"Herpes Simplex, Mucocutaneous/Immunocompromised Host",1.0,1
Acyclovir,"Herpes Simplex, Suppression",3.1578947368421053,19
Acyclovir,Herpes Zoste,2.5714285714285716,7
Acyclovir,Mononucleosis,4.333333333333333,3
Acyclovir,Not Listed / Othe,3.6666666666666665,3
Acyclovir / hydrocortisone,Cold Sores,5.0,1
Aczone,2</span> users found this comment helpful.,1.0,1
Aczone,Acne,3.767857142857143,168
Adalat CC,High Blood Pressure,3.0,1
Adalimumab,Ankylosing Spondylitis,2.2790697674418605,43
Adalimumab,Behcet's Disease,4.5,2
Adalimumab,Crohn's Disease,3.2758620689655173,29
Adalimumab,"Crohn's Disease, Acute",3.0,6
Adalimumab,"Crohn's Disease, Maintenance",3.2162162162162162,37
Adalimumab,Hidradenitis Suppurativa,4.0,3
Adalimumab,Juvenile Idiopathic Arthritis,1.5,2
Adalimumab,Not Listed / Othe,3.0,1
Adalimumab,Plaque Psoriasis,2.7857142857142856,14
Adalimumab,Psoriasis,3.580246913580247,81
Adalimumab,Psoriatic Arthritis,2.9019607843137254,51
Adalimumab,Reiter's Syndrome,2.3333333333333335,3
Adalimumab,Rheumatoid Arthritis,2.5760869565217392,92
Adalimumab,Spondyloarthritis,2.5,2
Adalimumab,Ulcerative Colitis,2.5,16
Adapalene,Acne,3.411764705882353,238
Adapalene / benzoyl peroxide,Acne,3.59963436928702,547
Adcirca,Pulmonary Hypertension,3.0,5
Adderall,10</span> users found this comment helpful.,1.0,1
Adderall,12</span> users found this comment helpful.,2.0,1
Adderall,142</span> users found this comment helpful.,4.0,1
Adderall,14</span> users found this comment helpful.,5.0,1
Adderall,15</span> users found this comment helpful.,5.0,1
Adderall,16</span> users found this comment helpful.,5.0,1
Adderall,21</span> users found this comment helpful.,5.0,1
Adderall,29</span> users found this comment helpful.,5.0,1
Adderall,4</span> users found this comment helpful.,3.0,1
Adderall,6</span> users found this comment helpful.,2.0,1
Adderall,7</span> users found this comment helpful.,5.0,1
Adderall,ADHD,3.5330396475770924,227
Adderall,Narcolepsy,3.6176470588235294,34
Adderall,atigue,3.0,1
Adderall XR,10</span> users found this comment helpful.,4.0,1
Adderall XR,13</span> users found this comment helpful.,1.0,1
Adderall XR,5</span> users found this comment helpful.,2.0,1
Adderall XR,ADHD,3.5179856115107913,139
Adderall XR,Narcolepsy,4.142857142857143,7
Addyi,Hypoactive Sexual Desire Disorde,3.5,4
Adempas,Pulmonary Hypertension,3.0,1
Adenosine,Not Listed / Othe,2.0,1
Adenosine,Supraventricular Tachycardia,3.0,5
Adipex-P,17</span> users found this comment helpful.,2.0,1
Adipex-P,18</span> users found this comment helpful.,4.0,1
Adipex-P,4</span> users found this comment helpful.,3.6666666666666665,3
Adipex-P,5</span> users found this comment helpful.,5.0,1
Adipex-P,6</span> users found this comment helpful.,5.0,1
Adipex-P,7</span> users found this comment helpful.,5.0,1
Adipex-P,Obesity,3.588888888888889,90
Adipex-P,Weight Loss,3.553935860058309,343
Adipost,Obesity,5.0,1
Adoxa,Acne,3.75,4
Adriamycin,Breast Cance,2.0,1
Adriamycin,Cance,3.0,1
Adriamycin,Lymphoma,4.0,1
Advair Diskus,10</span> users found this comment helpful.,1.0,1
